Motor Name,Index,D (in),P (in),Volts (V),Power (W),RPM,Thrust (N),Speed (m/s),Weight P (g),KV,Max Amp (A),Weight M (g)
LittleScreamers Purple Peril (Original),1,6,4,6.8,31,9870,1.7455837,16.719296,5.1,1760,10,25
Torque 34T-1520,2,6,4,6.8,31,9840,1.71616375,16.674592,5.1,1520,8,32
Mega RCn 400/7/16,3,7,5,9.9,26,6750,2.2359162,14.30528,9.1,857,8,39
KEDA TR2826/14,4,6,4,6.8,73,13260,3.40290755,22.441408,5.1,2315,30,48
KEDA TR2826/14,5,6,4,6.8,73,13260,3.40290755,22.441408,5.1,2315,30,48
Skatty 400XT (950Kv) R/B/B,6,7,5,7,25,6660,1.6475172,14.08176,9.1,950,12,45
Grayson Mega Jet 18,7,6,4,6.9,48,11580,2.5301157,19.625056,5.1,1820,25,61
HXT 25D-28,8,7,5,7,28,6750,1.9221034,14.30528,9.1,1117,19,58
Scorpion 2215-18,9,7,5,9.9,74,9840,4.22666615,20.832064,9.1,1126,20,62
ARC 20-34-110,10,13,8,6.9,64,3900,5.67805035,13.232384,30.9,3050,11,42
ARC 20-34-110,11,13,8,7.9,90,4320,7.0804013,14.618208,30.9,3050,11,42
Medusa 28-32-1500,12,6,4,6.9,30,10140,1.8828768,17.166336,5.1,1630,20,71
Medusa 28-32-1500,13,6,4,7.9,42,11400,2.42224255,19.312128,5.1,1630,20,71
Mega RCn 400/15/7,14,8,6,6.8,27,5280,2.0986231,13.4112,13.9,915,14,63
AEM 28L-GTS,15,10,7,10.8,282,8820,12.160246,26.15184,20.1,3960,33,57
E-max BL 2215/25,16,10,7,6.9,55,5040,3.7069137,14.931136,20.1,985,17,59
Komodo KH2413-11,17,10,5,7.11,25,4650,2.7262487,9.83488,20.1,750,15,63
Komodo KH2413-11,18,10,5,7.3,28,4770,2.87334845,10.103104,20.1,750,15,63
Komodo KH2413-10,19,10,5,7.09,31,4935,3.3734876,10.460736,20.1,823,15,63
Komodo KH2413-11,20,10,7,7,32,4230,2.40262925,12.51712,20.1,750,15,63
Komodo KH2413-11,21,10,7,7.16,35,4410,2.745862,13.053568,20.1,750,15,63
Komodo KH2413-11,22,10,7,7.3,36,4470,2.9027684,13.232384,20.1,750,15,63
Komodo KH2413-11,23,10,7,8.32,50,4965,3.59904055,14.707616,20.1,750,15,63
Komodo KH2413-11,24,10,5,9.53,53,5940,4.59931885,12.561824,20.1,750,15,63
Komodo KH2413-11,25,10,7,8.9,56,5160,3.65788045,15.288768,20.1,750,15,63
Komodo KH2413-11,26,10,5,10.71,72,6495,5.59959715,13.768832,20.1,750,15,63
Komodo KH2413-11,27,10,7,9.9,73,5640,4.38357255,16.719296,20.1,750,15,63
